timestamp_ns,src_ip,src_port,dst_ip,dst_port,proto,pkt_id,predicted_label,infer_latency_us,total_latency_us
612407651664934,10.0.185.72,48455,20.0.0.70,48455,17,1,VOIP,117817.537,123940.497
612407781371339,10.0.190.128,49791,20.0.1.99,49791,17,1,VOIP,121301.678,127480.526
612407914660774,10.0.195.156,51099,20.0.1.26,51099,17,1,VOIP,124904.299,131102.314
612408045678460,10.0.200.194,52417,20.0.0.187,52417,17,1,VOIP,121791.283,128779.584
612408174252769,10.0.205.217,53720,20.0.0.180,53720,17,1,VOIP,120156.433,126300.3
612408303162056,10.0.211.26,55065,20.0.0.139,55065,17,1,VOIP,120593.965,126690.5
612408429208322,10.0.216.26,56345,20.0.0.95,56345,17,1,VOIP,117645.669,123817.202
612408557164972,10.0.221.20,57619,20.0.1.174,57619,17,1,VOIP,118957.06,125758.177
612408684264763,10.0.226.22,58901,20.0.0.84,58901,17,1,VOIP,118650.174,124896.818
612408814346868,10.0.231.37,60196,20.0.0.193,60196,17,1,VOIP,121391.27,127779.449
612408947151605,10.0.236.43,61482,20.0.0.29,61482,17,1,VOIP,124403.287,130558.506
612409077803203,10.0.241.78,62797,20.0.0.146,62797,17,1,VOIP,121263.827,128415.811
612409207661718,10.0.246.119,64118,20.0.0.212,64118,17,1,VOIP,121421.103,127566.451
612409334760249,10.0.251.147,65426,20.0.1.126,65426,17,1,VOIP,118664.841,124855.244
612409463704369,10.1.0.153,2201,20.0.1.128,2201,17,1,VOIP,120683.112,126732.277
612409595473841,10.1.5.169,3497,20.0.0.208,3497,17,1,VOIP,123346.708,129519.538
612409729467101,10.1.10.184,4792,20.0.1.17,4792,17,1,VOIP,125600.051,131777.177
612409860358232,10.1.15.175,6063,20.0.1.62,6063,17,1,VOIP,122549.57,128683.9
612409995399997,10.1.20.203,7371,20.0.1.179,7371,17,1,VOIP,126596.556,132845.477
612410126206037,10.1.26.25,8729,20.0.0.120,8729,17,1,VOIP,120902.073,128540.013
612410257452887,10.1.31.46,10030,20.0.0.105,10030,17,1,VOIP,122755.253,128970.897
612410386320915,10.1.36.72,11336,20.0.1.16,11336,17,1,VOIP,119903.752,126055.045
612410518151442,10.1.41.63,12607,20.0.0.112,12607,17,1,VOIP,123442.818,129591.13
612410644653999,10.1.46.49,13873,20.0.0.203,13873,17,1,VOIP,118119.588,124260.289
612410778871978,10.1.51.59,15163,20.0.0.200,15163,17,1,VOIP,125875.472,132016.284
612410912494872,10.1.56.60,16444,20.0.0.218,16444,17,1,VOIP,125220.407,131385.089
612411042253907,10.1.61.98,17762,20.0.1.77,17762,17,1,VOIP,121299.919,127508.693
612411175082162,10.1.66.126,19070,20.0.0.187,19070,17,1,VOIP,123410.3,130600.635
612411304902752,10.1.71.128,20352,20.0.1.69,20352,17,1,VOIP,121319.678,127541.304
612411437203588,10.1.76.139,21643,20.0.0.170,21643,17,1,VOIP,123893.571,130094.179
612411565814249,10.1.81.167,22951,20.0.0.124,22951,17,1,VOIP,120184.21,126405.503
612411692800318,10.1.86.161,24225,20.0.0.165,24225,17,1,VOIP,118618.12,124737.912
612411821916639,10.1.91.142,25486,20.0.1.35,25486,17,1,VOIP,120723.167,126920.441
612411955902584,10.1.96.159,26783,20.0.0.128,26783,17,1,VOIP,125648.661,131742.955
612412083844216,10.1.101.212,28116,20.0.0.114,28116,17,1,VOIP,119461.591,125599.921
612412213250811,10.1.106.242,29426,20.0.1.12,29426,17,1,VOIP,119512.331,127187.401
612412343698263,10.1.111.248,30712,20.0.1.98,30712,17,1,VOIP,121477.139,127603.692
612412476997772,10.1.117.1,32001,20.0.0.94,32001,17,1,VOIP,124897.096,131053.908
612412605199067,10.1.121.237,33261,20.0.1.111,33261,17,1,VOIP,119142.854,125990.064
612412734452812,10.1.126.237,34541,20.0.0.254,34541,17,1,VOIP,120887.091,127063.81
612412861945653,10.1.131.228,35812,20.0.0.153,35812,17,1,VOIP,119151.168,125280.147
612412994516375,10.1.136.249,37113,20.0.1.109,37113,17,1,VOIP,124189.697,130313.343
612413123068240,10.1.142.41,38441,20.0.1.115,38441,17,1,VOIP,120125.527,126261.394
612413254566253,10.1.147.68,39748,20.0.0.185,39748,17,1,VOIP,121780.616,129277.152
612413383703777,10.1.152.86,41046,20.0.0.193,41046,17,1,VOIP,119558.774,126800.257
612413514550576,10.1.157.77,42317,20.0.1.114,42317,17,1,VOIP,122463.053,128597.55
612413642659428,10.1.162.87,43607,20.0.0.109,43607,17,1,VOIP,119774.549,125881.362
612413775275242,10.1.167.124,44924,20.0.1.10,44924,17,1,VOIP,124286.567,130370.454
612413909565497,10.1.172.184,46264,20.0.1.38,46264,17,1,VOIP,125673.901,131921.767
612414039384661,10.1.177.213,47573,20.0.1.116,47573,17,1,VOIP,121383.141,127593.97
612414168871181,10.1.183.27,48923,20.0.0.50,48923,17,1,VOIP,120577.206,127262.548
612414299291874,10.1.188.56,50232,20.0.0.191,50232,17,1,VOIP,121115.644,128228.887
612414429094686,10.1.193.88,51544,20.0.1.188,51544,17,1,VOIP,120632.798,127519.378
612414558482818,10.1.198.97,52833,20.0.0.198,52833,17,1,VOIP,120977.978,127184.548
612414685712348,10.1.203.135,54151,20.0.0.201,54151,17,1,VOIP,118777.729,125001.243
612414813792163,10.1.208.120,55416,20.0.0.11,55416,17,1,VOIP,119101.317,125884.157
612414949243941,10.1.213.182,56758,20.0.1.167,56758,17,1,VOIP,127077.513,133256.083
612415080969748,10.1.218.238,58094,20.0.0.245,58094,17,1,VOIP,123327.356,129508.983
612415210970206,10.1.224.0,59392,20.0.0.176,59392,17,1,VOIP,121561.824,127774.134
612415341688840,10.1.229.48,60720,20.0.0.214,60720,17,1,VOIP,121503.157,128444.737
612415481762485,10.1.234.66,62018,20.0.0.52,62018,17,1,VOIP,131662.326,137858.007
612415611740166,10.1.239.109,63341,20.0.1.29,63341,17,1,VOIP,121505.602,127774.634
612415740948041,10.1.244.115,64627,20.0.1.69,64627,17,1,VOIP,120818.314,126982.2
612415872850901,10.1.249.105,1386,20.0.0.120,1386,17,1,VOIP,123392.263,129703.036
612416004801130,10.1.254.117,2678,20.0.0.211,2678,17,1,VOIP,123552.91,129755.627
612416135547023,10.2.3.178,4019,20.0.1.169,4019,17,1,VOIP,122353.906,128504.18
612416268970530,10.2.8.176,5297,20.0.0.67,5297,17,1,VOIP,124136.902,130406.434
612416399365020,10.2.13.190,6591,20.0.0.148,6591,17,1,VOIP,121114.94,128182.128
612416531042198,10.2.18.215,7896,20.0.0.69,7896,17,1,VOIP,123246.876,129405.558
612416659583026,10.2.24.11,9228,20.0.1.186,9228,17,1,VOIP,120226.951,126321.06
612416788389369,10.2.29.13,10510,20.0.0.113,10510,17,1,VOIP,119842.401,126583.575
612416920240581,10.2.34.26,11803,20.0.0.100,11803,17,1,VOIP,123496.244,129673.073
612417050595127,10.2.39.21,13078,20.0.0.193,13078,17,1,VOIP,121425.769,127620.506
612417181742737,10.2.44.67,14404,20.0.0.161,14404,17,1,VOIP,122711.623,128875.324
612417310589024,10.2.49.72,15689,20.0.0.215,15689,17,1,VOIP,120517.984,126683.87
612417443797645,10.2.54.107,17004,20.0.0.60,17004,17,1,VOIP,123989.274,130960.575
612417574071989,10.2.59.119,18296,20.0.1.13,18296,17,1,VOIP,121799.672,127979.224
612417701359184,10.2.64.147,19604,20.0.0.105,19604,17,1,VOIP,118925.06,125059.057
612417829730311,10.2.69.148,20885,20.0.0.205,20885,17,1,VOIP,119964.232,126195.247
612417965803137,10.2.74.195,22212,20.0.0.253,22212,17,1,VOIP,127726.486,133903.28
612418096843470,10.2.80.1,23554,20.0.1.152,23554,17,1,VOIP,122703.827,128847.583
612418226355897,10.2.85.19,24852,20.0.0.178,24852,17,1,VOIP,121126.218,127348.287
612418353637963,10.2.90.34,26147,20.0.0.71,26147,17,1,VOIP,118893.135,125043.427
612418481739371,10.2.95.58,27451,20.0.1.7,27451,17,1,VOIP,118825.061,125884.565
612418610699990,10.2.100.76,28749,20.0.0.221,28749,17,1,VOIP,120561.836,126734.74
612418738546845,10.2.105.90,30043,20.0.0.149,30043,17,1,VOIP,119483.09,125597.291
612418869238572,10.2.110.83,31316,20.0.0.149,31316,17,1,VOIP,122253.518,128443.329
612419002008254,10.2.115.83,32596,20.0.0.60,32596,17,1,VOIP,124345.454,130565.21
612419131354609,10.2.120.158,33951,20.0.0.144,33951,17,1,VOIP,120992.182,127107.587
612419264072570,10.2.125.195,35268,20.0.0.232,35268,17,1,VOIP,123462.392,130490.267
612419391067287,10.2.130.215,36568,20.0.0.98,36568,17,1,VOIP,118458.714,124762.801
612419520660398,10.2.135.242,37875,20.0.0.203,37875,17,1,VOIP,120384.857,127380.138
612419648904138,10.2.141.107,39276,20.0.0.121,39276,17,1,VOIP,119137.816,125996.101
612419780338133,10.2.146.127,40576,20.0.0.149,40576,17,1,VOIP,122441.071,129238.856
612419911680185,10.2.151.139,41868,20.0.1.115,41868,17,1,VOIP,122957.491,129134.598
612420041642939,10.2.156.178,43187,20.0.0.237,43187,17,1,VOIP,121492.231,127710.838
612420168894395,10.2.161.218,44507,20.0.0.186,44507,17,1,VOIP,118909.079,125053.428
612420297827422,10.2.166.245,45814,20.0.0.128,45814,17,1,VOIP,120515.448,126736.351
612420425853441,10.2.172.43,47148,20.0.1.25,47148,17,1,VOIP,119617.681,125777.492
612420554562878,10.2.177.67,48452,20.0.0.204,48452,17,1,VOIP,119491.35,126477.02
612420685046700,10.2.182.104,49769,20.0.0.159,49769,17,1,VOIP,121913.245,128176.055
612420815947221,10.2.187.109,51054,20.0.1.7,51054,17,1,VOIP,122557.125,128695.141
612420949763871,10.2.192.117,52342,20.0.1.104,52342,17,1,VOIP,125393.831,131577.956
612421082976918,10.2.197.156,53661,20.0.0.110,53661,17,1,VOIP,124820.708,131008.334
612421211891408,10.2.202.179,54964,20.0.1.7,54964,17,1,VOIP,120461.152,126640.74
612421345730559,10.2.207.211,56276,20.0.0.101,56276,17,1,VOIP,125310.035,131567.031
612421475636203,10.2.212.219,57564,20.0.0.146,57564,17,1,VOIP,121498.25,127702.598
612421604766449,10.2.218.16,58897,20.0.1.83,58897,17,1,VOIP,119871.659,126884.793
612421732358048,10.2.223.38,60199,20.0.0.200,60199,17,1,VOIP,119152.872,125327.387
612421862963387,10.2.228.31,61472,20.0.1.8,61472,17,1,VOIP,122173.778,128374.144
612421995190558,10.2.233.35,62756,20.0.0.148,62756,17,1,VOIP,123834.258,129995.069
612422126158115,10.2.238.116,64117,20.0.0.165,64117,17,1,VOIP,122534.515,128705.697
612422257577481,10.2.243.146,65427,20.0.1.63,65427,17,1,VOIP,123032.194,129192.987
612422385831590,10.2.248.161,2211,20.0.0.208,2211,17,1,VOIP,119865.845,126052.952
612422520641413,10.2.253.154,3484,20.0.1.196,3484,17,1,VOIP,125774.363,132043.339
612422650995718,10.3.2.155,4765,20.0.1.18,4765,17,1,VOIP,120068.416,128148.221
612422780966547,10.3.7.165,6055,20.0.0.124,6055,17,1,VOIP,121370.825,127536.118
612422917888992,10.3.12.163,7333,20.0.0.163,7333,17,1,VOIP,128524.125,134724.713
612423050597175,10.3.17.190,8640,20.0.1.15,8640,17,1,VOIP,124292.215,130436.23
612423179045041,10.3.22.238,9968,20.0.0.187,9968,17,1,VOIP,120054.342,126179.876
612423307001710,10.3.27.251,11261,20.0.1.69,11261,17,1,VOIP,119563.127,125726.438
612423439740800,10.3.33.42,12588,20.0.0.216,12588,17,1,VOIP,124241.568,130474.804
612423570950964,10.3.38.32,13858,20.0.1.151,13858,17,1,VOIP,122769.437,128959.582
612423700953885,10.3.43.48,15154,20.0.0.149,15154,17,1,VOIP,120767.741,127769.115
612423833166500,10.3.48.51,16437,20.0.1.53,16437,17,1,VOIP,123710.167,129922.662
